instruction,input,output
Write a Java program that takes in a URL and prints out the status code.,,"import java.io.IOException;
import java.net.HttpURLConnection;
import java.net.URL;

public class UrlStatus {
 public static void main(String[] args) {
 try {
 URL url = new URL(""http://example.com"");
 HttpURLConnection http = (HttpURLConnection) url.openConnection();
 http.connect();
 int responseCode = http.getResponseCode();
 System.out.println(""Status code: "" + responseCode);
 }
 catch (IOException e) {
 e.printStackTrace();
 }
 }
}"
Create a HTML page with a list of items.,,"<html>
 <head>
 <title>My List</title>
 </head>
 <body>
 <h1>My List</h1>
 <ul>
  <li>Item 1</li>
  <li>Item 2</li>
  <li>Item 3</li>
 </ul>
 </body>
</html>"
Create an algorithm to sort a provided array of numbers in ascending order.,"[12, 15, 3, 45, 7, 51]","def ascending_sort(arr):
    for i in range(len(arr)):
        min_val = min(arr[i:])
        min_arr_idx = arr[i:].index(min_val)
        arr[i], arr[i + min_arr_idx] = min_val, arr[i]
    return arr

ascending_sort(arr)
# Output: [3, 7, 12, 15, 45, 51]"
Create a program to check whether a given number is a prime number or not.,9,"def is_prime(num):
    if num == 1 or num == 0:
        return False
    
    for i in range(2, num):
        if num % i == 0:
            return False
    return True

is_prime(9) # Output: False"
Write a function in JavaScript to check if two strings are anagrams or not.,"'anagram', 'nagaram'","function isAnagram(str1, str2) {
    const cleanStr1 = str1.replace(/[^\w]/g, '').toLowerCase();
    const cleanStr2 = str2.replace(/[^\w]/g, '').toLowerCase();

    if (cleanStr1.length !== cleanStr2.length) {
        return false;
    }
    
    const str1Obj = {};
    for (let char of cleanStr1) {
        str1Obj[char] = (str1Obj[char] || 0) + 1;
    }

    for (let char of cleanStr2) {
        if (!str1Obj[char]) {
            return false;
        } else {
            str1Obj[char] -= 1
        }
    }
    return true;
}

isAnagram('anagram','nagaram') # Output: true"
Generate a random number between 0 and 10.,,Math.floor(Math.random() * 11)
Explain when to use list comprehensions in Python.,,List comprehensions are a concise and memory-efficient way of creating lists in Python. They can be used to create quickly new lists from existing ones by applying conditionals and other operations on the elements such as filtering and transforming. They are often used to filter existing lists based on conditions and also to modify each element of the list.
Create a program to determine if a given year is a leap year or not.,,"def is_leap_year(year):
    if (year % 4 == 0 and year % 100 != 0) or (year % 400 == 0):
        return True
    else:
        return False

is_leap_year(2019) # Output: False"
Create an algorithm to find the maximum number in a given array.,"[54, 12, 11, 67, 87]","def max_in_arr(arr):
    max_num = arr[0]
    for i in arr[1:]:
        if i > max_num:
            max_num = i
    return max_num

max_in_arr([54, 12, 11, 67, 87]) # Output: 87"
Edit the given code of Python to remove unnecessary commas from the list.,"list = [2, 3, 4, 5, 'hello', 6, 7]","list = [2, 3, 4, 5, 'hello', 6, 7]"
Identify which of the following is a variable and which is a value.,"'Hello', 8",'Hello' is a value and 8 is a variable.
Explain the differences between a while loop and a for loop in Python.,,"The main difference between a while loop and a for loop is that a while loop runs until a certain condition is met and a for loop runs over a sequence of items. While loops are typically used when the number of iterations is unknown, while for loops are used to iterate over a sequence of values such as a list or a range of numbers. While loops can also be used when there is a need to perform a set of operations until the condition is broken."
Create a Python program to find the sum of first 10 natural numbers.,,"# Sum of first 10 natural numbers

def sum_natural_numbers(n):
    total = 0
    for num in range(1, n + 1):
        total += num
    return total

sum_natural_numbers(10) # Output: 55"
Write a C++ program to check whether a number is odd or even.,,"#include <iostream>

using namespace std;

int main() {
    int num;
    cout << ""Enter a number: "";
    cin >> num;
    
    if (num % 2 == 0)
        cout << num << "" is even"";
    else
        cout << num << "" is odd"";
    
    return 0; 
}"
Create a program to calculate the average of ten numbers.,"[23, 5, 17, 39, 32, 27, 44, 99, 11, 43]","def avg_of_ten(arr):
    total = 0
    for num in arr:
        total += num
    return total / len(arr)

avg_of_ten([23, 5, 17, 39, 32, 27, 44, 99, 11, 43]) # Output: 35.1"
Write a function to sort an array of numbers.,"[20,4,9,1,2]","def sortArray(arr):
    arr.sort()
    return arr"
Generate a method to convert Celsius to Fahrenheit.,,"def c_to_f(celsius):
    fahrenheit = (celsius * 1.8) + 32
    return fahrenheit"
Create a website using HTML and CSS.,,"<!DOCTYPE html>
<html>

<head>
    <title>My Website</title>
    <link rel=""stylesheet"" href=""style.css"">
<head>

<body>
    <h1>My Website</h1>

    <div class=""content"">
        Content goes here.
    </div>

</body>

</html>

//style.css
body {
    font-family: sans-serif;
    font-size: 14px;
    color: #000;
    background-color: #fff;
}

h1 {
    text-align: center;
    color: #444;
    font-size: 20px;
    margin-top: 20px;
}

.content {
    font-size: 12px;
    padding: 10px;
}"
Create a search engine system using the BAYES Theorem.,,"def search_engine(data, query):
    # your code here
    # calculate the frequency of words in the query
    query_words = query.split()
    query_length = len(query_words)
    query_freq = {word: 0.0 for word in query_words}
    for document in data:
        document_words = document.split()
        document_length = len(document_words)
        for word in query_words:
            query_freq[word] += document_words.count(word) / document_length
 
    # use Bayes Theorem to calculate the probability of the query
    result = 0.0
    for word, freq in query_freq.items():
        result += freq / query_length * log(freq / (data[word] / len(data)))
    return result"
Generate a method to count the number of words in a given string.,,"def word_count(sentence):
    words = sentence.split()
    return len(words)"
Identify the data type of a given value.,Hello,String
Create a system that verifies a user's login credentials.,,"def verify_credentials(username, password):
    if username == 'username' and password == 'password':
        return True
    else:
        return False"
Modify a program to reverse the order of an array.,"[10, 20, 30, 40]","def reverseArray(arr):
    arr.reverse()
    return arr"
Explain what is the difference between a software library and a framework.,,"The main difference between a software library and a framework is that a library is essentially a set of functions that you can call, while a framework essentially inverts the relationship and calls the functions that you defined in your code. A library is essentially a toolbox while a framework dictates the structure of your code."
Write code to bubble sort a list of numbers.,"[4, 7, 2, 6, 8, 1]","def bubbleSort(nums):
    for i in range(len(nums)-1):
        for j in range(0, len(nums)-i-1):
            if nums[j] > nums[j+1] :
                nums[j], nums[j+1] = nums[j+1], nums[j]
    return nums 

nums = [4, 7, 2, 6, 8, 1] 
print(bubbleSort(nums))"
Write a method to check if a string is a valid binary number.,11001,"def isBinaryNumber(s): 
	try : 
		int(s, 2) 
		return True
	except ValueError : 
		return False

# Driver code 
s = ""11001""

if isBinaryNumber(s) : 
	print(""Yes"") 
else : 
	print(""No"")"
How to create a server using Node.js?,,"Creating a server using Node.js is quite simple. First, require the necessary modules and import the http module to start the server:

const http = require('http');

Then, create a new http server using the createServer constructor, which takes a request handler callback as an argument. The request handler callback is executed each time the server receives a request:

const httpServer = http.createServer((request, response) =>{
  // Handle incoming requests here
});

Finally, start the server by calling the listen method and passing the port, hostname, and callback:

httpServer.listen(8080, 'localhost', () => {
  console.log('Server running at http://localhost:8080/');
});"
Rewrite this for loop using a while loop.,"for (i = 0; i < 10; i++){
  console.log(i);
}","let i = 0;
while (i < 10) {
  console.log(i);
  i++;
}"
What is the time complexity of the following algorithm?,"function binarySearch(array, x) {
  let low = 0;
  let high = array.length - 1;
  
  while (low <= high) {
    let mid = Math.floor((low + high) / 2);
    let item = array[mid]; 
    
    if (x === item) {
      return mid;
    } 
    
    if (x < item) {
      high = mid - 1;
    } else {
      low = mid + 1;
    }
  }
}","The time complexity of the following binary search algorithm is O(log n). This is because at each step of the search the number of candidates is halved. Therefore, the time it takes to find the target item is proportional to the logarithm of the number of elements in the array."
Write a cURL statement to send a POST request to a web server at https://www.example.com,,"curl -X POST https://www.example.com --data ""param1=value1&param2=value2"""
Write a Java program to display odd numbers between 1 to 10.,,"public class OddNumbers {
 
  public static void main(String[] args) {
    
    for (int i = 1; i <= 10; i++) {
      if (i % 2 != 0) {
        System.out.println(i);
      }
    }
  }
}"
Update the existing code so that it can be called twice with different parameters.,"def my_func(x, y):
    return x * y

my_func(2, 3)","def my_func(x, y):
    return x * y

result_1 = my_func(2, 3)
result_2 = my_func(4, 5)"
What is the difference between deep learning and machine learning?,,"The main difference between deep learning and machine learning is in their approach. Machine learning algorithms focus on recognizing patterns in data and then generalizing the patterns to make predictions or classify data. Deep learning algorithms on the other hand, emulate the way the human brain works by processing information in layers and hierarchies. Deep learning tends to work best with high-dimensional data, whereas machine learning works better with small datasets."
Write an SQL query to find the second highest salary.,,"SELECT MAX(Salary) AS SecondHighestSalary
FROM Employee
WHERE Salary NOT IN (SELECT MAX(Salary) FROM Employee);"
What does this JavaScript code do?,"function add(a, b) {
  return a + b;
}","This code defines a function called ""add"" that takes two parameters, ""a"" and ""b"", and returns the sum of the two parameters. The function can then be used to add two numbers together. For example: add(1, 2) would return 3."
Fix this code segment to aggregate the values in the list.,"sum = 0
list = [2, 4, 6, 8]

for x in list
    sum = x

print(sum)","sum = 0
list = [2, 4, 6, 8]

for x in list:
    sum += x

print(sum)"
Explain what happens when this JavaScript code is executed.,"let x = 3;

if (x > 3) {
  console.log(""x is greater than 3"");
} else {
  console.log(""x is not greater than 3"");
}","When this code is executed, the variable ""x"" is initialized with a value of 3. Then, the if statement is executed and checks if the condition ""x > 3"" is true. Since the condition is false, the else statement is executed and ""x is not greater than 3"" is printed to the console."
What is the recommended style guideline for Hypertext Markup Language (HTML)?,,"The World Wide Web Consortium (W3C) publishes the recommended style guidelines for HTML which consists of the conventions to be followed while writing HTML documents and covers structure, syntax, formatting, and other related rules. Some of the major guidelines which are recommended by them are using meaningful document structure, using lowercase for markup, avoiding deprecated tags and attributes, using HTML elements for their specified purposes, separating content and presentation, using valid and meaningful code, using entities for special characters, using modern and customisable layout techniques, using appropriate ALT attributes for images."
Convert the following English sentence into valid CSS code.,The font size should be 10px and the text color should be red.,"p {
 font-size: 10px;
 color: red;
}"
Write a JavaScript function that takes as an argument an array of numbers and returns a new array containing the squared values of the original array.,"[1, 2, 3, 4]","function squaredValues(arr) {
    let newArr = [];
    for (let i = 0; i < arr.length; i++) {
        newArr.push(arr[i] * arr[i]);
    }
    return newArr;
}"
Create a MySQL table to store users' information.,"Name: User
Fields:
- username (VARCHAR) 
- email (VARCHAR) 
- dob (DATETIME) 
- gender (VARCHAR) 
- password (VARCHAR)","CREATE TABLE User ( 
    username VARCHAR(50) NOT NULL, 
    email VARCHAR(50) NOT NULL, 
    dob DATETIME NOT NULL, 
    gender VARCHAR(10) NOT NULL, 
    password VARCHAR(50) NOT NULL
);"
Write a function in Visual Basic that adds two numbers,,"Public Function AddNumbers(a As Integer, b As Integer)
    Return a + b
End Function"
Print this matrix in transpose form using Java.,"[
    [1, 2, 3],
    [4, 5, 6],
    [7, 8, 9]
]","public class TransposeMatrix {
 
    public static void main(String[] args) {
        int[][] matrix = { {1, 2, 3}, {4, 5, 6}, {7, 8, 9}};
        int rows = matrix.length;
        int columns = matrix[0].length;
 
        // Printing transpose of the matrix
        System.out.println(""Transpose of the Matrix:"");
        for (int i = 0; i < columns; i++) {
            for (int j = 0; j < rows; j++) {
                System.out.print(matrix[j][i] + "" "");
            }
            System.out.println();
        }
    }
}"
Rewrite this SQL query in Python.,SELECT * from Movie WHERE Rating > 8.0,"import sqlite3

connection = sqlite3.connect(""database.db"")
cursor = connection.cursor()

cursor.execute(""SELECT * from Movie WHERE Rating > 8.0"")

result = cursor.fetchall()

for i in result:
    print(i)"
Create a Rust program that prints out the numbers from 1 to 10.,,"fn main() {
    for i in 1..11 {
        println!(""{}"", i);
    }
}"
What is the correct syntax to return the last character of a string in Python?,,The correct syntax to return the last character of a string in Python is string[-1].
Write a JavaScript function that takes an array of strings as an argument and returns an array of only the strings that contain a maximum of 4 characters.,"[""apple"", ""banana"", ""watermelon"", ""strawberry"", ""pear""]","function fourChars(arr) {
    let newArr = [];
    for (let i = 0; i < arr.length; i++) {
        if (arr[i].length <= 4) {
            newArr.push(arr[i]);
        }
    }
    return newArr;
}"
Write Swift code that prints a triangle pattern.,,"for i in 1...7 { 
  var k = """" 
  for j in 1...i { 
    k = k + ""*"" 
  } 

  print(k) 
}"
"Create an object in Java that has two methods, one that adds two numbers and the other that subtracts two numbers.",,"public class Calculator {
 
    public int add(int a, int b) {
        return a + b;
    }
 
    public int subtract(int a, int b) {
        return a - b;
    }
}"
Create a Java class that implements a linked list.,,"public class LinkedList { 
    Node head;  
  
    class Node { 
        int data; 
        Node next; 
        Node(int d) 
        { 
            data = d; 
            next = null; 
        } 
    } 
  
    public void push(int data) 
    { 
        Node node = new Node(data); 
        node.next = head; 
        head = node; 
    } 
  
    public void printList() 
    { 
        Node n = head; 
        while (n != null) { 
            System.out.print(n.data + "" ""); 
            n = n.next; 
        } 
    } 
  
    public static void main(String args[]) 
    { 
        LinkedList list = new LinkedList(); 
  
        list.push(20); 
        list.push(4); 
        list.push(15); 
        list.push(85); 
  
        System.out.println(""Given Linked list""); 
        list.printList(); 
    } 
}"
Convert the following HTML code into JavaScript code.,"<span onclick=""console.log('Hello, World!')"">Click Here</span>","let element = document.querySelector('span');

element.addEventListener('click', () => {
    console.log('Hello, World!');
});"
"Create a function that takes two parameters, a string and a character, and returns the number of times the character appears in the string.","String: “Hello World!”
 Character: ‘l’","function countChar(str, char) {
     let count = 0;
     for (let i = 0; i < str.length; i++){
         if (str[i] ===char) {
             count++;
         }
     }
     return count;
}

let result = countChar(""Hello World!"", 'l');
console.log(result); // Output: 3"
Create a C++ function that reverses a string.,,"#include <iostream>
#include <string>

std::string reverseString(std::string str)
{
	std::string result = """";
	for (int i = str.length() - 1; i >= 0; i--)
	{
		result += str[i];
	}
	return result;
}

int main()
{
	std::string str = ""Hello World!"";
	std::cout << reverseString(str) << std::endl;

	return 0;
}

//Output: !dlroW olleH"
Write an Python code to remove the duplicate characters in a given string.,"String : ”Hello World!""","def remove_duplicate_chars(string):
    result = """" 
    for char in string: 
        if char not in result: 
            result += char 
    return result

print(remove_duplicate_chars(""Hello World!""))
// Output: Helo Wrd!"
Create a function that takes a string and returns all its permutations.,,"def getPermutations(string): 

    if len(string) == 0: 
        return []

    if len(string) == 1: 
        return [string] 

    permutation_list = [] 
    for char in string: 
        m = string.replace(char, '') 
        for perm in getPermutations(m): 
            permutation_list.append(char + perm) 

    return permutation_list 

print(getPermutations(""ABC"")) 
// Output: ['ABC', 'ACB', 'BAC', 'BCA', 'CAB', 'CBA']"
Create a function to check for palindrome strings.,,"def isPalindrome(string): 
    left, right = 0, len(string) - 1
  
    while right >= left: 
        if not string[left] == string[right]: 
            return False
        left += 1
        right -= 1
    return True
  
print(isPalindrome('madam'))  
// Output: True"
Create a JavaScript function to find the index of the smallest item in a given array.,"[-8, 10, 5, 20, 4]","let arr = [-8, 10, 5, 20, 4];

const findSmallestIndex = arr => {
  let smallestIndex = 0;
  let smallestValue = arr[0];
  for (let i = 1; i < arr.length; i++) {
    if (arr[i] < smallestValue) {
      smallestValue = arr[i];
      smallestIndex = i;
    }
  }
  return smallestIndex;
};

console.log(findSmallestIndex(arr));
// Output: 0"
Write a PostgreSQL query to get the 3 highest-paid employees of the company.,,"SELECT *
FROM employees
ORDER BY salary DESC 
LIMIT 3;"
Create a Ruby method to convert a given string to snakecase.,,"def to_snake_case(string)
  string.gsub(/::/, '/').
  gsub(/([A-Z]+)([A-Z][a-z])/, '\1_\2').
  gsub(/([a-z\d])([A-Z])/, '\1_\2').
  tr(""-"", ""_"").
  downcase
end

puts to_snake_case(""HelloWorld"")
# Output : hello_world"
Create a Python program to find the greatest common divisor (GCD) of two given numbers.,"Number 1: 20
Number 2: 40","def gcd(a, b): 
  
    if (b == 0): 
        return a 
    return gcd(b, a % b) 
  
a = 20
b = 40
print(""GCD of"", a, ""and"", b, ""is"", gcd(a, b)) 

// Output: GCD of 20 and 40 is 20"
"Write a jQuery code to select the second element from a list of elements with class ""sample"".","<ul> 
    <li class=""sample"">first</li> 
    <li class=""sample"">second</li> 
    <li class=""sample"">third</li> 
</ul>","$(document).ready(function(){ 
    let element = $("".sample"").eq(1); 
});"
Create an SQL query to select the first name of all individuals in a given table.,Table name: people,SELECT first_name FROM people;
Create an array with 24 elements initialized to the value zero.,,"arr = [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Convert a given string to PascalCase.,String: this string needs to be pascal cased,ThisStringNeedsToBePascalCased
"Create a HTML form that contains two radio buttons corresponding to gender, male and female.",,"<form>
  <label>Gender:</label>
  <input type=""radio"" name=""gender"" value=""male""> Male <br>
  <input type=""radio"" name=""gender"" value=""female""> Female<br>
</form>"
Train a deep neural network model for recognizing the MNIST dataset.,,"import keras
from keras.datasets import mnist
from keras.models import Sequential
from keras.layers import Dense, Dropout
from keras.optimizers import RMSprop

# Load the MNIST dataset and split into train and test sets
(mnist_x_train, mnist_y_train), (mnist_x_test, mnist_y_test) = mnist.load_data()

# Reshape the data to represent each image as a vector
mnist_x_train = mnist_x_train.reshape(60000, 784)
mnist_x_test = mnist_x_test.reshape(10000, 784)
mnist_x_train = mnist_x_train.astype('float32')
mnist_x_test = mnist_x_test.astype('float32')

# Normalize the input from 0-255 to 0-1
mnist_x_train /= 255
mnist_x_test /= 255

# One-hot encode the labels
mnist_y_train = keras.utils.to_categorical(mnist_y_train, 10)
mnist_y_test = keras.utils.to_categorical(mnist_y_test, 10)

# Define the model
model = Sequential()
model.add(Dense(512, activation='relu', input_shape=(784,)))
model.add(Dropout(0.2))
model.add(Dense(512, activation='relu'))
model.add(Dropout(0.2))
model.add(Dense(10, activation='softmax'))

model.summary()

# Compile the model
model.compile(loss='categorical_crossentropy',
              optimizer=RMSprop(),
              metrics=['accuracy'])

# Train the model
model.fit(mnist_x_train, mnist_y_train,
          batch_size=128,
          epochs=20,
          verbose=2,
          validation_data=(mnist_x_test, mnist_y_test))"
Write a JavaScript code loop to print the numbers from 0 to 15.,,"for (var i = 0; i <= 15; i++) {
    console.log(i);
}"
Create a function in Python which takes a number as an input and returns the factorial of that number.,,"def factorial(n):
  if n == 0 or n == 1:
    return 1
  else:
    return n * factorial(n-1)"
Generate a JavaScript function to check if a given number is an even number.,,"function isEven(num) {
  if (num % 2 == 0) {
    return true;
  } else {
    return false;
  }
}"
Create an HTML table with 5 columns and 10 rows.,,"<table>
  <tr>
    <th>Column1</th>
    <th>Column2</th>
    <th>Column3</th>
    <th>Column4</th>
    <th>Column5</th>
  </tr>
  <tr>
    <td>Row1</td>
    <td>Row2</td>
    <td>Row3</td>
    <td>Row4</td>
    <td>Row5</td>
  </tr>
  <tr>
    <td>Row6</td>
    <td>Row7</td>
    <td>Row8</td>
    <td>Row9</td>
    <td>Row10</td>
  </tr>
</table>"
Write a Python code to find the most common element in a given list.,,"def find_most_common_element(lst): 
  u = [] 
  max_occurrence = 1
  element = None
  
  for x in lst: 
    if x not in u: 
      u.append(x) 
    else: 
      c = lst.count(x) 
      if c > max_occurrence: 
        max_occurrence = c 
        element = x 
      elif c == max_occurrence: 
        element = f'{x} and {element}'
  
  return element"
Write a SQL query to find the average price of all products in a given table.,Table name: products,SELECT AVG(price) FROM products;
Create a dataframe object in Python containing 5 rows and 3 columns.,,"import pandas as pd

df = pd.DataFrame(columns=['Column1', 'Column2', 'Column3'], 
                   data=[[1, 2, 3], [4, 5, 6], [7, 8, 9], [10 ,11 ,12], [13, 14, 15]]
                )"
"Create a new JavaScript array from an existing array, containing only the elements with an even index.",,"const arr = [1, 2, 3, 4, 5, 6];

const newArr = arr.filter((element, index) => index % 2 === 0);"
Write a Java code to find the largest number in an array.,,"public static int findLargest(int[] arr) {
  int largest = arr[0];

  for (int i = 1; i < arr.length; i++) {
    if (arr[i] > largest) {
      largest = arr[i];
    }
  }

  return largest;
}"
Edit the following HTML code to make the heading bold.,<h2>This is a heading</h2>,<h2><strong>This is a heading</strong></h2>
Write a function in Java to check if a given number is prime or not.,,"public class PrimeNumber { 
 public static boolean isPrime(int n) { 
     // Corner cases 
     if (n <= 1) return false; 
     if (n <= 3) return true; 

     // This is checked so that we can skip 
     // middle five numbers in below loop 
     if (n % 2 == 0 || n % 3 == 0) return false; 

     for (int i = 5; i * i <= n; i = i + 6) { 
         if (n % i == 0 || n % (i + 2) == 0) { 
             return false; 
         } 
     } 

     return true; 
  } 

// Driver Function 
 public static void main(String[] args) { 
     int n = 29; 
     if (isPrime(n)) 
         System.out.println(""true""); 
     else
         System.out.println(""false""); 
   } 
}"
Write a query in SQL to find the average age of all the users in the table.,"Table Name: users
Columns: id, username, age",SELECT AVG(age) FROM users;
Write Java code to remove all duplicates from an array.,"Input array: [1, 1, 2, 3, 3, 4, 4, 5, 6]","import java.util.*; 
  
public class RemoveDuplicates 
{ 
    public static int removeDuplicates(int arr[], int n) 
    { 
        if (n == 0 || n == 1) 
            return n; 
       
        int[] temp = new int[n]; 
          
        int j = 0; 
        for (int i = 0; i < n-1; i++) 
            if (arr[i] != arr[i+1]) 
                temp[j++] = arr[i]; 
          
        temp[j++] = arr[n-1];    
          
        for (int i=0; i<j; i++) 
            arr[i] = temp[i]; 
          
        return j; 
    } 
  
    public static void main (String[] args) 
    { 
        int arr[] = {1,1,2,3,3,4,4,5,6}; 
        int n = arr.length; 
          
        n = removeDuplicates(arr, n); 
   
        for (int i=0; i<n; i++) 
           System.out.print(arr[i]+"" ""); 
    } 
}"
Write CSS code to display the logo in the centre of the header bar.,"<div class=""header-bar"">
  <img src=""logo.png"">
</div>",".header-bar { 
  display: flex;
  justify-content: center;
} 

.header-bar img { 
  width: auto;
  height: 50px;
}"
Write a JavaScript function to sort the given list of words in ascending order.,"Input list: [""testing"", ""array"", ""sort"", ""function"", ""javascript""]","function sortWordsAscending(words) {
    return words.sort((wordA, wordB) => (wordA < wordB)? -1 : (wordA > wordB)? 1 : 0); 
}

sortWordsAscending([""testing"", ""array"", ""sort"", ""function"", ""javascript""]);
// Output: [""array"", ""function"", ""javascript"", ""sort"", ""testing""]"
Write a React component to render this table using the given data,"var data = [{uniqueId: 1, name: 'John', age:25, location: 'Boston'},
            {uniqueId: 2, name: 'Bill', age:30, location: 'London'},
            {uniqueId: 3, name: 'Tim', age:35, location: 'Paris'}];","import React from 'react';

function Table(props) {
  const data = props.data;

  return (
    <table>
      <tr>
        <th>Unique Id</th>
        <th>Name</th>
        <th>Age</th>
        <th>Location</th>
      </tr>
      {data.map(d => (
        <tr key={d.uniqueId}>
          <td>{d.uniqueId}</td>
          <td>{d.name}</td>
          <td>{d.age}</td>
          <td>{d.location}</td>
        </tr>
      ))}
    </table>
  );
}

export default Table;"
Write a SQL query to find out the name and age of people who are older than 25.,"Table Name: person
Columns: name, age","SELECT name, age FROM person WHERE age > 25;"
Write HTML code to create a navigation bar with links to Home and About pages.,,"<div>
  <ul>
    <li><a href=""/home"">Home</a></li>
    <li><a href=""/about"">About</a></li>
  </ul>
</div>"
Write C code to calculate the sum of all the numbers in the given array.,"Input array: [1, 2, 3, 4, 5]","#include<stdio.h>

int sumArray(int arr[], int size)
{
    int sum = 0;
    int i;
    for (i = 0; i < size; i++) 
        sum += arr[i];

    return sum;
}

int main()
{
    int arr[] = {1, 2, 3, 4, 5};
    int size = 5;
    int result = sumArray(arr, size);
    printf(""Sum of all numbers in array is %d"", result);
    return 0;
}"
Create a Python class to find the maximum and minimum of two integers.,,"class MinMax:
    
    def __init__(self, num1, num2):
        self.num1 = num1
        self.num2 = num2
    
    def get_max(self):
        return max(self.num1, self.num2)
    
    def get_min(self):
        return min(self.num1, self.num2)"
"Write a Python code to print ""Hello World"" 5 times.",,"for i in range(5):
    print(""Hello World"")"
"Create a SQL table of users with name, email and year of birth.",Table Name: users,"CREATE TABLE users (
  name VARCHAR(50),
  email VARCHAR(80),
  year_of_birth  INT
);"
Write a CSS program to set the background color to blue and the text color to white.,,"body {
    background-color: blue;
    color: white;
}"
"Generate a function in Python that takes a single argument, ‘a’, and returns the square of 'a'.",,"def square(a):
    return a**2"
How can you get the port number from a URL string in JavaScript?,,"The port number can be obtained from a URL string in JavaScript using the URL interface's ""port"" property.  For example, var url = new URL(""http://example.com:8080""); url.port will return ""8080""."
Write a Python statement to print the string “GPT is awesome” to the console.,,"print(""GPT is awesome"")"
Build a function that takes three values and finds the median value.,,"def median(a, b, c):
    vals = [a, b, c]
    vals.sort()
    return vals[1]"
How can you check if two strings are equal in Python?,,"Strings can be compared for equality in Python using the '==' operator, so if str1 == str2 evaluates to True, then the strings are equal."
Generate a function in JavaScript that takes a single array of numbers and checks if any two numbers add up to 10.,,"function isSum10(arr) {
    for (let i = 0; i < arr.length; i++) {
        for (let j = i+1; j < arr.length; j++) {
            if (arr[i] + arr[j] === 10) {
                return true;
            }
        }
    }
    return false;
}"
Produce an SQL query to find the average salary of all full-time employees in a table named ‘employees’.,,SELECT AVG(salary) FROM employees WHERE position = 'full-time';
How can you concatenate two strings in JavaScript?,,"String can be concatenated in JavaScript using the concat() method or the + operator, so if str1 and str2 are strings, str1.concat(str2) or str1 + str2 returns the concatenated string."
Create a for loop in Python that will traverse a list of numbers and print the index of each item.,,"for i in range(len(list)):
    print(list[i], i)"
Reverse a string in Java.,,"public static String reverse(String str){
    StringBuilder sb = new StringBuilder(str);
    return sb.reverse().toString();
}"
Find the unique elements in an array.,"[1, 2, 3, 2, 3, 4, 1]",[4]
"Using the comment in the code as a guide, modify the code to remove the specified item from the list.","list = [1, 2, 3]
# remove item 2 from the list","list = [1, 3]"
How can you select all the elements from a list in Python?,,"All elements from a list in Python can be selected using the slicing operator [:], so if lst is a list, lst[:] returns the same list."
Write a Python statement to find the index of the string “GPT” in the list.,"list = [""GPT"", ""is"", ""awesome""]","list.index(""GPT"") # returns 0"
Generate 10 jokes using GPT3.,,"Q: Why did the chicken cross the playground?
A: To get to the other slide!

Q: Why did the computer beep?
A: Because it had a message for you!

Q: Why did the strawberry cross the road?
A: To get to the other jam!

Q: Why did the cow go to the party?
A: Because he was invited to moooooo!

Q: Why did the chicken go to the library?
A: To get to the other book!

Q: Why did the banana go to a restaurant?
A: To get a smoothie!

Q: Why did the potato apologize?
A: Because he was feeling a little mashed!

Q: Why did the ketchup go to the doctor?
A: To get a tomato check-up!

Q: Why did the mushroom get invited to the party?
A: Because he was a fungi!

Q: Why did the sheep go to school?
A: To learn how to count ewe!"
Write a SQL query to fetch the names of customers who have not placed any order in the last 3 months.,,"SELECT name 
FROM customers 
WHERE id NOT IN (SELECT customer_id 
        FROM orders 
        WHERE order_date >= DATEADD(MONTH, -3, GETDATE()))"
"Write a function in Java that takes 2 parameters, max and min, and returns a random number between the two values.",,"public static int getRandomNumber(int min, int max) {
    Random r = new Random();
    return r.nextInt((max - min) + 1) + min;
}"
Suggest an appropriate data structure to store user data and efficiently query it.,,"A hash table would be a suitable data structure to store and query user data efficiently. Hash tables provide quick access to stored data, thus allowing an application to quickly query and modify data if needed."
Edit this JSON code to add a new property.,"{
 ""name"": ""John Doe"",
 ""age"": 35
}","{
    ""name"": ""John Doe"",
    ""age"": 35,
    ""location"": """"
}"
Provide a regular expression that matches any string containing exactly 3 numbers.,,^[0-9]{3}$
Suggest the line which should be appended to complete the JavaScript code.,"function init() {
    fetchData();
   
}","function init() {
    fetchData();
    renderData();
}"
Write a function to calculate the average of a list of numbers.,,"def calculate_average(numbers):
    total = 0
    for num in numbers:
        total += num
    return total / len(numbers)"
Fix the bug in this model code.,"class Student:
    def __init__(self, name):
        self.name = name
        self._assignments = []
    
    def add_assignment(self, assignment):
        self.assignments.append(assignment)","class Student:
    def __init__(self, name):
        self.name = name
        self._assignments = []
    
    def add_assignment(self, assignment):
        self._assignments.append(assignment)"
Suggest a way to traverse a binary tree in preorder.,,"We can traverse a binary tree in preorder using a recursive algorithm. In each step, the tree is explored in the following order - root, left subtree, right subtree. The algorithm can be summarized in the following pseudocode:

def traverse_preorder(root):
    if root is None:
        return
    visit(root)
    traverse_preorder(root.left)
    traverse_preorder(root.right)"
Write a query to find the sums of the salaries of all the employees in the same job role.,,"SELECT job_role, SUM(salary) as salary_sum 
FROM employees 
GROUP BY job_role"
